T,K,dl,dh
59,5,"1,43848","1,72663"
59,6,"1,40191","1,7672"
59,7,"1,36481","1,80908"
59,8,"1,32723","1,85226"
59,9,"1,28923","1,89665"
59,10,"1,25086","1,94223"
59,11,"1,21218","1,98893"
59,12,"1,17325","2,03668"
59,13,"1,1341","2,08543"
59,14,"1,09482","2,1351"
59,15,"1,05545","2,18564"
59,16,"1,01605","2,23698"
59,17,"0,97668","2,28902"
59,18,"0,93739","2,34171"
59,19,"0,89826","2,39495"
59,20,"0,85932","2,44869"
59,21,"0,82065","2,50283"
60,2,"1,54853","1,61617"
60,3,"1,51442","1,65184"
60,4,"1,47965","1,68891"
60,5,"1,44427","1,72735"
60,6,"1,40832","1,76711"
60,7,"1,37186","1,80817"
60,8,"1,33493","1,85045"
60,9,"1,29758","1,89393"
60,10,"1,25987","1,93856"
60,11,"1,22183","1,98427"
60,12,"1,18354","2,03101"
60,13,"1,14505","2,07873"
60,14,"1,1064","2,12734"
60,15,"1,06764","2,17681"
60,16,"1,02885","2,22705"
60,17,"0,99007","2,278"
60,18,"0,95135","2,32958"
60,19,"0,91276","2,38173"
60,20,"0,87435","2,43437"
60,21,"0,83616","2,48742"
61,2,"1,5524","1,61892"
61,3,"1,51886","1,65396"
61,4,"1,48468","1,69035"
61,5,"1,44989","1,72808"
61,6,"1,41455","1,76708"
61,7,"1,37871","1,80732"
61,8,"1,3424","1,84876"
61,9,"1,30568","1,89137"
61,10,"1,2686","1,93507"
61,11,"1,2312","1,97984"
61,12,"1,19355","2,0256"
61,13,"1,15567","2,07232"
61,14,"1,11763","2,11992"
61,15,"1,0795","2,16835"
61,16,"1,04129","2,21755"
61,17,"1,00309","2,26744"
61,18,"0,96492","2,31796"
61,19,"0,92686","2,36904"
61,20,"0,88896","2,42062"
61,21,"0,85126","2,47262"
62,2,"1,55619","1,62161"
62,3,"1,52318","1,65605"
62,4,"1,48957","1,6918"
62,5,"1,45536","1,72881"
62,6,"1,42061","1,76708"
62,7,"1,38536","1,80655"
62,8,"1,34967","1,84718"
62,9,"1,31356","1,88893"
62,10,"1,27709","1,93176"
62,11,"1,24031","1,97561"
62,12,"1,20326","2,02044"
62,13,"1,16599","2,0662"
62,14,"1,12856","2,11282"
62,15,"1,091","2,16026"
62,16,"1,05338","2,20844"
62,17,"1,01573","2,25732"
62,18,"0,97812","2,30681"
62,19,"0,94058","2,35687"
62,20,"0,90319","2,40742"
62,21,"0,86597","2,4584"
63,2,"1,55987","1,62425"
63,3,"1,52741","1,6581"
63,4,"1,49433","1,69321"
63,5,"1,46068","1,72957"
63,6,"1,4265","1,76712"
63,7,"1,39183","1,80584"
63,8,"1,35672","1,84569"
63,9,"1,32121","1,88663"
63,10,"1,28534","1,9286"
63,11,"1,24915","1,97159"
63,12,"1,21269","2,01552"
63,13,"1,17602","2,06035"
63,14,"1,13917","2,10603"
63,15,"1,10219","2,1525"
63,16,"1,06512","2,19971"
63,17,"1,02803","2,24761"
63,18,"0,99096","2,29612"
63,19,"0,95394","2,34518"
63,20,"0,91703","2,39474"
63,21,"0,88029","2,44473"
64,2,"1,56348","1,62683"
64,3,"1,53152","1,66011"
64,4,"1,49897","1,69463"
64,5,"1,46587","1,73033"
64,6,"1,43223","1,7672"
64,7,"1,39813","1,8052"
64,8,"1,36359","1,84429"
64,9,"1,32865","1,88444"
64,10,"1,29336","1,92561"
64,11,"1,25775","1,96775"
64,12,"1,22188","2,01081"
64,13,"1,18576","2,05475"
64,14,"1,14949","2,09952"
64,15,"1,11306","2,14507"
64,16,"1,07655","2,19134"
64,17,"1,04","2,23829"
64,18,"1,00345","2,28584"
64,19,"0,96694","2,33395"
64,20,"0,93053","2,38255"
64,21,"0,89425","2,43159"
65,2,"1,56699","1,62936"
65,3,"1,53553","1,6621"
65,4,"1,50349","1,69602"
65,5,"1,47092","1,7311"
65,6,"1,43782","1,76731"
65,7,"1,40426","1,80462"
65,8,"1,37027","1,84298"
65,9,"1,33589","1,88238"
65,10,"1,30115","1,92276"
65,11,"1,26611","1,96408"
65,12,"1,2308","2,00631"
65,13,"1,19525","2,04939"
65,14,"1,15952","2,09329"
65,15,"1,12364","2,13795"
65,16,"1,08767","2,18331"
65,17,"1,05165","2,22934"
65,18,"1,0156","2,27597"
65,19,"0,9796","2,32315"
65,20,"0,94367","2,37083"
65,21,"0,90785","2,41894"
66,2,"1,57043","1,63184"
66,3,"1,53945","1,66404"
66,4,"1,5079","1,6974"
66,5,"1,47583","1,73188"
66,6,"1,44326","1,76745"
66,7,"1,41023","1,80409"
66,8,"1,37677","1,84175"
66,9,"1,34293","1,88041"
66,10,"1,30874","1,92004"
66,11,"1,27424","1,96058"
66,12,"1,23947","2,002"
66,13,"1,20447","2,04426"
66,14,"1,16928","2,08731"
66,15,"1,13394","2,1311"
66,16,"1,0985","2,17559"
66,17,"1,06298","2,22074"
66,18,"1,02744","2,26648"
66,19,"0,99192","2,31277"
66,20,"0,95646","2,35954"
66,21,"0,92111","2,40676"
67,2,"1,57378","1,63427"
67,3,"1,54328","1,66596"
67,4,"1,51221","1,69877"
67,5,"1,48063","1,73267"
67,6,"1,44856","1,76762"
67,7,"1,41604","1,8036"
67,8,"1,38311","1,8406"
67,9,"1,34979","1,87856"
67,10,"1,31613","1,91744"
67,11,"1,28216","1,95723"
67,12,"1,24792","1,99787"
67,13,"1,21345","2,03934"
67,14,"1,17878","2,08158"
67,15,"1,14396","2,12453"
67,16,"1,10903","2,16819"
67,17,"1,07401","2,21248"
67,18,"1,03897","2,25735"
67,19,"1,00394","2,30277"
67,20,"0,96894","2,34868"
67,21,"0,93402","2,39503"
68,2,"1,57706","1,63665"
68,3,"1,54701","1,66784"
68,4,"1,51642","1,70011"
68,5,"1,48531","1,73345"
68,6,"1,45373","1,76781"
68,7,"1,42171","1,80318"
68,8,"1,38928","1,83952"
68,9,"1,35647","1,87679"
68,10,"1,32332","1,91497"
68,11,"1,28987","1,95403"
68,12,"1,25614","1,99393"
68,13,"1,22218","2,03462"
68,14,"1,18803","2,07606"
68,15,"1,15372","2,11823"
68,16,"1,11929","2,16106"
68,17,"1,08477","2,20453"
68,18,"1,05021","2,24857"
68,19,"1,01563","2,29315"
68,20,"0,98109","2,33822"
68,21,"0,94663","2,38371"
69,2,"1,58027","1,63898"
69,3,"1,55066","1,6697"
69,4,"1,52052","1,70146"
69,5,"1,48988","1,73425"
69,6,"1,45877","1,76803"
69,7,"1,42723","1,80279"
69,8,"1,39529","1,83849"
69,9,"1,36298","1,87512"
69,10,"1,33032","1,91262"
69,11,"1,29737","1,95098"
69,12,"1,26415","1,99014"
69,13,"1,23069","2,03009"
69,14,"1,19704","2,07078"
69,15,"1,16322","2,11216"
69,16,"1,12928","2,15421"
69,17,"1,09524","2,19688"
69,18,"1,06115","2,24012"
69,19,"1,02704","2,28388"
69,20,"0,99295","2,32813"
69,21,"0,95892","2,37281"
70,2,"1,58341","1,64127"
70,3,"1,55422","1,67152"
70,4,"1,52452","1,70278"
70,5,"1,49434","1,73505"
70,6,"1,46369","1,76827"
70,7,"1,43262","1,80245"
70,8,"1,40115","1,83754"
70,9,"1,36932","1,87353"
70,10,"1,33716","1,91037"
70,11,"1,30469","1,94805"
70,12,"1,27196","1,98652"
70,13,"1,23899","2,02574"
70,14,"1,20582","2,06569"
70,15,"1,17249","2,10634"
70,16,"1,13902","2,14762"
70,17,"1,10544","2,18951"
70,18,"1,07182","2,23197"
70,19,"1,03816","2,27495"
70,20,"1,00451","2,3184"
70,21,"0,97091","2,3623"
71,2,"1,58648","1,64352"
71,3,"1,55771","1,67331"
71,4,"1,52844","1,70409"
71,5,"1,49868","1,73584"
71,6,"1,46849","1,76854"
71,7,"1,43787","1,80214"
71,8,"1,40686","1,83664"
71,9,"1,37551","1,87202"
71,10,"1,34381","1,90823"
71,11,"1,31182","1,94524"
71,12,"1,27957","1,98304"
71,13,"1,24707","2,02157"
71,14,"1,21437","2,06081"
71,15,"1,1815","2,10073"
71,16,"1,14851","2,14128"
71,17,"1,11539","2,18242"
71,18,"1,08222","2,22412"
71,19,"1,049","2,26634"
71,20,"1,01579","2,30903"
71,21,"0,98261","2,35215"
72,2,"1,58949","1,64571"
72,3,"1,56112","1,67507"
72,4,"1,53226","1,70539"
72,5,"1,50293","1,73664"
72,6,"1,47317","1,76881"
72,7,"1,443","1,80187"
72,8,"1,41245","1,83581"
72,9,"1,38154","1,87059"
72,10,"1,3503","1,90618"
72,11,"1,31877","1,94256"
72,12,"1,28698","1,9797"
72,13,"1,25495","2,01756"
72,14,"1,22272","2,05611"
72,15,"1,19031","2,09532"
72,16,"1,15776","2,13516"
72,17,"1,1251","2,17558"
72,18,"1,09237","2,21655"
72,19,"1,05959","2,25803"
72,20,"1,0268","2,29997"
72,21,"0,99403","2,34236"
73,2,"1,59243","1,64788"
73,3,"1,56446","1,67681"
73,4,"1,53599","1,70667"
73,5,"1,50709","1,73745"
73,6,"1,47775","1,76911"
73,7,"1,44801","1,80164"
73,8,"1,41789","1,83502"
73,9,"1,38743","1,86923"
73,10,"1,35663","1,90422"
73,11,"1,32556","1,93999"
73,12,"1,29421","1,97649"
73,13,"1,26262","2,0137"
73,14,"1,23084","2,05159"
73,15,"1,19889","2,09013"
73,16,"1,16678","2,12927"
73,17,"1,13456","2,16899"
73,18,"1,10226","2,20925"
73,19,"1,06991","2,25001"
73,20,"1,03753","2,29124"
73,21,"1,00517","2,3329"
74,2,"1,5953","1,65001"
74,3,"1,56772","1,67852"
74,4,"1,53966","1,70793"
74,5,"1,51115","1,73825"
74,6,"1,48222","1,76943"
74,7,"1,45289","1,80144"
74,8,"1,42321","1,83429"
74,9,"1,39316","1,86793"
74,10,"1,36281","1,90235"
74,11,"1,33217","1,93752"
74,12,"1,30127","1,97341"
74,13,"1,27013","2,01"
74,14,"1,23878","2,04724"
74,15,"1,20725","2,08511"
74,16,"1,17559","2,12359"
74,17,"1,14379","2,16263"
74,18,"1,11192","2,2022"
74,19,"1,07998","2,24227"
74,20,"1,04801","2,2828"
74,21,"1,01605","2,32375"
75,2,"1,59813","1,65209"
75,3,"1,57091","1,6802"
75,4,"1,54323","1,7092"
75,5,"1,51511","1,73904"
75,6,"1,48659","1,76975"
75,7,"1,45767","1,80127"
75,8,"1,4284","1,8336"
75,9,"1,39877","1,8667"
75,10,"1,36884","1,90057"
75,11,"1,33863","1,93516"
75,12,"1,30815","1,97046"
75,13,"1,27744","2,00643"
75,14,"1,24652","2,04304"
75,15,"1,21542","2,08028"
75,16,"1,18418","2,11811"
75,17,"1,15281","2,15649"
75,18,"1,12135","2,1954"
75,19,"1,08982","2,2348"
75,20,"1,05825","2,27465"
75,21,"1,02668","2,31492"
76,2,"1,6009","1,65413"
76,3,"1,57404","1,68185"
76,4,"1,54673","1,71043"
76,5,"1,519","1,73985"
76,6,"1,49086","1,77009"
76,7,"1,46233","1,80113"
76,8,"1,43346","1,83295"
76,9,"1,40425","1,86553"
76,10,"1,37473","1,89886"
76,11,"1,34493","1,93288"
76,12,"1,31488","1,96761"
76,13,"1,28458","2,00299"
76,14,"1,25408","2,039"
76,15,"1,2234","2,07563"
76,16,"1,19257","2,11283"
76,17,"1,16161","2,15057"
76,18,"1,13056","2,18883"
76,19,"1,09942","2,22757"
76,20,"1,06825","2,26676"
76,21,"1,03706","2,30638"
77,2,"1,60361","1,65614"
77,3,"1,5771","1,68348"
77,4,"1,55015","1,71166"
77,5,"1,52279","1,74065"
77,6,"1,49503","1,77044"
77,7,"1,4669","1,80102"
77,8,"1,43842","1,83235"
77,9,"1,40961","1,86443"
77,10,"1,38048","1,89722"
77,11,"1,35108","1,93071"
77,12,"1,32143","1,96487"
77,13,"1,29155","1,99969"
77,14,"1,26146","2,03511"
77,15,"1,23119","2,07113"
77,16,"1,20076","2,10772"
77,17,"1,1702","2,14485"
77,18,"1,13954","2,18248"
77,19,"1,10881","2,22059"
77,20,"1,07801","2,25914"
77,21,"1,04721","2,29811"
78,2,"1,60626","1,65812"
78,3,"1,5801","1,68509"
78,4,"1,55351","1,71287"
78,5,"1,52651","1,74145"
78,6,"1,49912","1,77081"
78,7,"1,47136","1,80093"
78,8,"1,44325","1,83178"
78,9,"1,41483","1,86337"
78,10,"1,3861","1,89565"
78,11,"1,35711","1,92862"
78,12,"1,32785","1,96224"
78,13,"1,29836","1,9965"
78,14,"1,26867","2,03136"
78,15,"1,23879","2,0668"
78,16,"1,20876","2,10279"
78,17,"1,1786","2,13932"
78,18,"1,14832","2,17634"
78,19,"1,11797","2,21384"
78,20,"1,08756","2,25177"
78,21,"1,05712","2,29011"
79,2,"1,60887","1,66006"
79,3,"1,58304","1,68667"
79,4,"1,55679","1,71407"
79,5,"1,53015","1,74225"
79,6,"1,50312","1,77118"
79,7,"1,47572","1,80086"
79,8,"1,448","1,83126"
79,9,"1,41994","1,86237"
79,10,"1,3916","1,89416"
79,11,"1,36299","1,92661"
79,12,"1,33411","1,9597"
79,13,"1,30501","1,99342"
79,14,"1,27571","2,02773"
79,15,"1,24622","2,06261"
79,16,"1,21658","2,09804"
79,17,"1,18679","2,13398"
79,18,"1,1569","2,17041"
79,19,"1,12693","2,2073"
79,20,"1,09689","2,24464"
79,21,"1,0668","2,28237"
80,2,"1,61143","1,66197"
80,3,"1,58592","1,68823"
80,4,"1,56001","1,71526"
80,5,"1,5337","1,74304"
80,6,"1,50703","1,77156"
80,7,"1,47999","1,80081"
80,8,"1,45262","1,83077"
80,9,"1,42495","1,86142"
80,10,"1,39698","1,89272"
80,11,"1,36873","1,92469"
80,12,"1,34024","1,95727"
80,13,"1,31151","1,99046"
80,14,"1,28259","2,02423"
80,15,"1,25348","2,05857"
80,16,"1,22422","2,09343"
80,17,"1,19481","2,12881"
80,18,"1,16529","2,16467"
80,19,"1,13568","2,20099"
80,20,"1,106","2,23772"
80,21,"1,07628","2,27487"
81,2,"1,61393","1,66385"
81,3,"1,58875","1,68976"
81,4,"1,56316","1,71643"
81,5,"1,53719","1,74384"
81,6,"1,51085","1,77196"
81,7,"1,48417","1,80079"
81,8,"1,45715","1,83031"
81,9,"1,42984","1,86051"
81,10,"1,40223","1,89135"
81,11,"1,37434","1,92282"
81,12,"1,34622","1,95492"
81,13,"1,31787","1,9876"
81,14,"1,28931","2,02085"
81,15,"1,26058","2,05466"
81,16,"1,23168","2,08898"
81,17,"1,20264","2,12381"
81,18,"1,17348","2,15911"
81,19,"1,14424","2,19486"
81,20,"1,11491","2,23103"
81,21,"1,08555","2,2676"
82,2,"1,61639","1,66569"
82,3,"1,59152","1,69128"
82,4,"1,56625","1,71759"
82,5,"1,5406","1,74462"
82,6,"1,51461","1,77237"
82,7,"1,48826","1,80079"
82,8,"1,46159","1,82989"
82,9,"1,43462","1,85964"
82,10,"1,40736","1,89003"
82,11,"1,37984","1,92105"
82,12,"1,35207","1,95265"
82,13,"1,32408","1,98485"
82,14,"1,2959","2,0176"
82,15,"1,26752","2,05088"
82,16,"1,23898","2,08469"
82,17,"1,2103","2,11897"
82,18,"1,1815","2,15373"
82,19,"1,1526","2,18894"
82,20,"1,12364","2,22455"
82,21,"1,09461","2,26056"
83,2,"1,6188","1,66751"
83,3,"1,59423","1,69276"
83,4,"1,56928","1,71874"
83,5,"1,54395","1,74541"
83,6,"1,51828","1,77278"
83,7,"1,49226","1,8008"
83,8,"1,46593","1,8295"
83,9,"1,4393","1,85882"
83,10,"1,41239","1,88877"
83,11,"1,38522","1,91933"
83,12,"1,3578","1,95048"
83,13,"1,33017","1,98219"
83,14,"1,30233","2,01444"
83,15,"1,2743","2,04723"
83,16,"1,24612","2,08052"
83,17,"1,21779","2,11429"
83,18,"1,18934","2,14853"
83,19,"1,1608","2,1832"
83,20,"1,13217","2,21827"
83,21,"1,10349","2,25373"
84,2,"1,62118","1,66929"
84,3,"1,59691","1,69424"
84,4,"1,57225","1,71987"
84,5,"1,54723","1,74619"
84,6,"1,52188","1,77318"
84,7,"1,49618","1,80084"
84,8,"1,47018","1,82912"
84,9,"1,44388","1,85804"
84,10,"1,41731","1,88756"
84,11,"1,39048","1,91768"
84,12,"1,3634","1,94837"
84,13,"1,33611","1,97962"
84,14,"1,30862","2,0114"
84,15,"1,28094","2,0437"
84,16,"1,2531","2,07649"
84,17,"1,22512","2,10976"
84,18,"1,19701","2,14348"
84,19,"1,1688","2,17762"
84,20,"1,14051","2,21218"
84,21,"1,11215","2,24712"
85,2,"1,6235","1,67105"
85,3,"1,59952","1,69568"
85,4,"1,57516","1,721"
85,5,"1,55045","1,74697"
85,6,"1,5254","1,77361"
85,7,"1,50003","1,80089"
85,8,"1,47434","1,82879"
85,9,"1,44837","1,8573"
85,10,"1,42212","1,88641"
85,11,"1,39562","1,9161"
85,12,"1,36889","1,94635"
85,13,"1,34194","1,97714"
85,14,"1,31477","2,00845"
85,15,"1,28744","2,04028"
85,16,"1,25993","2,07259"
85,17,"1,23229","2,10536"
85,18,"1,20451","2,13858"
85,19,"1,17664","2,17223"
85,20,"1,14868","2,20627"
85,21,"1,12064","2,2407"
86,2,"1,62579","1,67277"
86,3,"1,60209","1,69711"
86,4,"1,57802","1,7221"
86,5,"1,5536","1,74775"
86,6,"1,52885","1,77404"
86,7,"1,50378","1,80095"
86,8,"1,47842","1,82848"
86,9,"1,45277","1,85659"
86,10,"1,42684","1,8853"
86,11,"1,40066","1,91457"
86,12,"1,37426","1,94439"
86,13,"1,34762","1,97474"
86,14,"1,32081","2,00561"
86,15,"1,29379","2,03697"
86,16,"1,26662","2,06881"
86,17,"1,23931","2,10111"
86,18,"1,21187","2,13384"
86,19,"1,18432","2,167"
86,20,"1,15667","2,20054"
86,21,"1,12896","2,23446"
87,2,"1,62804","1,67448"
87,3,"1,60461","1,69851"
87,4,"1,58083","1,7232"
87,5,"1,5567","1,74852"
87,6,"1,53224","1,77448"
87,7,"1,50748","1,80103"
87,8,"1,48242","1,82819"
87,9,"1,45707","1,85592"
87,10,"1,43146","1,88423"
87,11,"1,40561","1,9131"
87,12,"1,37951","1,9425"
87,13,"1,3532","1,97243"
87,14,"1,32671","2,00285"
87,15,"1,30002","2,03377"
87,16,"1,27317","2,06515"
87,17,"1,24617","2,09699"
87,18,"1,21906","2,12925"
87,19,"1,19183","2,16192"
87,20,"1,1645","2,19498"
87,21,"1,1371","2,22841"
88,2,"1,63024","1,67615"
88,3,"1,60709","1,6999"
88,4,"1,58358","1,72429"
88,5,"1,55974","1,74929"
88,6,"1,53557","1,77491"
88,7,"1,51109","1,80112"
88,8,"1,48633","1,82792"
88,9,"1,46129","1,85529"
88,10,"1,43599","1,88321"
88,11,"1,41044","1,91168"
88,12,"1,38466","1,94068"
88,13,"1,35867","1,97019"
88,14,"1,33248","2,00018"
88,15,"1,30611","2,03067"
88,16,"1,27958","2,0616"
88,17,"1,2529","2,09298"
88,18,"1,22609","2,12478"
88,19,"1,19918","2,15699"
88,20,"1,17217","2,18959"
88,21,"1,14507","2,22254"
89,2,"1,63242","1,6778"
89,3,"1,60951","1,70127"
89,4,"1,58628","1,72536"
89,5,"1,56271","1,75006"
89,6,"1,53883","1,77535"
89,7,"1,51465","1,80123"
89,8,"1,49017","1,82768"
89,9,"1,46542","1,85469"
89,10,"1,44042","1,88223"
89,11,"1,41518","1,91032"
89,12,"1,3897","1,93892"
89,13,"1,36402","1,96802"
89,14,"1,33814","1,9976"
89,15,"1,31208","2,02766"
89,16,"1,28585","2,05816"
89,17,"1,25949","2,0891"
89,18,"1,23299","2,12046"
89,19,"1,20638","2,15221"
89,20,"1,17967","2,18434"
89,21,"1,15289","2,21683"
90,2,"1,63454","1,67942"
90,3,"1,6119","1,70262"
90,4,"1,58893","1,72642"
90,5,"1,56564","1,75082"
90,6,"1,54202","1,7758"
90,7,"1,51812","1,80135"
90,8,"1,49393","1,82745"
90,9,"1,46947","1,85411"
90,10,"1,44476","1,88129"
90,11,"1,41982","1,909"
90,12,"1,39464","1,93721"
90,13,"1,36926","1,96592"
90,14,"1,34368","1,9951"
90,15,"1,31792","2,02474"
90,16,"1,292","2,05483"
90,17,"1,26594","2,08533"
90,18,"1,23974","2,11626"
90,19,"1,21344","2,14756"
90,20,"1,18703","2,17925"
90,21,"1,16053","2,21129"
91,2,"1,63664","1,68102"
91,3,"1,61425","1,70395"
91,4,"1,59154","1,72747"
91,5,"1,5685","1,75157"
91,6,"1,54516","1,77625"
91,7,"1,52154","1,80147"
91,8,"1,49763","1,82725"
91,9,"1,47345","1,85356"
91,10,"1,44903","1,8804"
91,11,"1,42437","1,90774"
91,12,"1,39948","1,93557"
91,13,"1,3744","1,96389"
91,14,"1,34911","1,99268"
91,15,"1,32365","2,02192"
91,16,"1,29803","2,05159"
91,17,"1,27226","2,08168"
91,18,"1,24637","2,11217"
91,19,"1,22035","2,14305"
91,20,"1,19424","2,1743"
91,21,"1,16803","2,2059"
92,2,"1,6387","1,68259"
92,3,"1,61656","1,70526"
92,4,"1,5941","1,72851"
92,5,"1,57132","1,75232"
92,6,"1,54824","1,7767"
92,7,"1,52488","1,80161"
92,8,"1,50125","1,82707"
92,9,"1,47736","1,85304"
92,10,"1,45321","1,87953"
92,11,"1,42883","1,90652"
92,12,"1,40423","1,93399"
92,13,"1,37943","1,96194"
92,14,"1,35444","1,99033"
92,15,"1,32927","2,01918"
92,16,"1,30393","2,04845"
92,17,"1,27846","2,07813"
92,18,"1,25285","2,10821"
92,19,"1,22713","2,13867"
92,20,"1,20129","2,16949"
92,21,"1,17538","2,20066"
93,2,"1,64073","1,68414"
93,3,"1,61883","1,70656"
93,4,"1,59661","1,72954"
93,5,"1,57409","1,75308"
93,6,"1,55127","1,77716"
93,7,"1,52818","1,80176"
93,8,"1,5048","1,8269"
93,9,"1,48117","1,85255"
93,10,"1,4573","1,8787"
93,11,"1,43321","1,90534"
93,12,"1,40889","1,93246"
93,13,"1,38437","1,96004"
93,14,"1,35966","1,98806"
93,15,"1,33477","2,01652"
93,16,"1,30972","2,0454"
93,17,"1,28453","2,07469"
93,18,"1,2592","2,10436"
93,19,"1,23376","2,13441"
93,20,"1,20821","2,16482"
93,21,"1,18259","2,19556"
94,2,"1,64272","1,68567"
94,3,"1,62106","1,70784"
94,4,"1,59908","1,73055"
94,5,"1,57681","1,75382"
94,6,"1,55424","1,77761"
94,7,"1,5314","1,80192"
94,8,"1,50829","1,82675"
94,9,"1,48493","1,85209"
94,10,"1,46133","1,87791"
94,11,"1,4375","1,90421"
94,12,"1,41345","1,93097"
94,13,"1,38921","1,9582"
94,14,"1,36478","1,98586"
94,15,"1,34016","2,01394"
94,16,"1,3154","2,04244"
94,17,"1,29049","2,07134"
94,18,"1,26544","2,10062"
94,19,"1,24027","2,13027"
94,20,"1,215","2,16027"
94,21,"1,18965","2,19061"
95,2,"1,64469","1,68717"
95,3,"1,62325","1,7091"
95,4,"1,60152","1,73156"
95,5,"1,57948","1,75455"
95,6,"1,55715","1,77807"
95,7,"1,53456","1,8021"
95,8,"1,51171","1,82663"
95,9,"1,48861","1,85164"
95,10,"1,46527","1,87715"
95,11,"1,44171","1,90311"
95,12,"1,41793","1,92954"
95,13,"1,39395","1,95642"
95,14,"1,3698","1,98372"
95,15,"1,34546","2,01144"
95,16,"1,32096","2,03957"
95,17,"1,29632","2,06808"
95,18,"1,27155","2,09699"
95,19,"1,24666","2,12624"
95,20,"1,22166","2,15585"
95,21,"1,19657","2,18579"
96,2,"1,64661","1,68866"
96,3,"1,62541","1,71034"
96,4,"1,6039","1,73256"
96,5,"1,58211","1,75529"
96,6,"1,56002","1,77853"
96,7,"1,53768","1,80227"
96,8,"1,51508","1,82651"
96,9,"1,49223","1,85123"
96,10,"1,46914","1,87642"
96,11,"1,44584","1,90206"
96,12,"1,42232","1,92815"
96,13,"1,39861","1,95469"
96,14,"1,37472","1,98164"
96,15,"1,35065","2,009"
96,16,"1,32643","2,03677"
96,17,"1,30205","2,06492"
96,18,"1,27755","2,09345"
96,19,"1,25292","2,12232"
96,20,"1,22819","2,15154"
96,21,"1,20337","2,18109"
97,2,"1,64851","1,69012"
97,3,"1,62752","1,71157"
97,4,"1,60625","1,73354"
97,5,"1,58469","1,75602"
97,6,"1,56284","1,77899"
97,7,"1,54073","1,80246"
97,8,"1,51838","1,82641"
97,9,"1,49577","1,85083"
97,10,"1,47294","1,87571"
97,11,"1,44989","1,90105"
97,12,"1,42663","1,92681"
97,13,"1,40318","1,95301"
97,14,"1,37955","1,97963"
97,15,"1,35574","2,00665"
97,16,"1,33178","2,03407"
97,17,"1,30767","2,06186"
97,18,"1,28342","2,09001"
97,19,"1,25906","2,11851"
97,20,"1,23459","2,14735"
97,21,"1,21003","2,17652"
98,2,"1,65038","1,69156"
98,3,"1,62962","1,71279"
98,4,"1,60856","1,73452"
98,5,"1,58721","1,75674"
98,6,"1,56561","1,77946"
98,7,"1,54373","1,80266"
98,8,"1,52162","1,82632"
98,9,"1,49926","1,85046"
98,10,"1,47667","1,87503"
98,11,"1,45387","1,90006"
98,12,"1,43087","1,92552"
98,13,"1,40767","1,95139"
98,14,"1,38428","1,97768"
98,15,"1,36073","2,00436"
98,16,"1,33702","2,03142"
98,17,"1,31318","2,05886"
98,18,"1,28919","2,08666"
98,19,"1,26508","2,11481"
98,20,"1,24088","2,14328"
98,21,"1,21657","2,17208"
99,2,"1,65223","1,69298"
99,3,"1,63167","1,71399"
99,4,"1,61082","1,73548"
99,5,"1,58971","1,75746"
99,6,"1,56833","1,77993"
99,7,"1,54669","1,80285"
99,8,"1,5248","1,82625"
99,9,"1,50268","1,8501"
99,10,"1,48033","1,87439"
99,11,"1,45778","1,89911"
99,12,"1,43502","1,92426"
99,13,"1,41206","1,94982"
99,14,"1,38894","1,97578"
99,15,"1,36563","2,00213"
99,16,"1,34218","2,02886"
99,17,"1,31859","2,05596"
99,18,"1,29486","2,08341"
99,19,"1,271","2,1112"
99,20,"1,24704","2,13931"
99,21,"1,22298","2,16774"
100,2,"1,65404","1,69439"
100,3,"1,63369","1,71517"
100,4,"1,61306","1,73643"
100,5,"1,59216","1,75818"
100,6,"1,571","1,78039"
100,7,"1,54958","1,80306"
100,8,"1,52793","1,82619"
100,9,"1,50604","1,84976"
100,10,"1,48394","1,87377"
100,11,"1,46162","1,8982"
100,12,"1,4391","1,92305"
100,13,"1,41639","1,9483"
100,14,"1,3935","1,97394"
100,15,"1,37045","1,99997"
100,16,"1,34724","2,02636"
100,17,"1,3239","2,05313"
100,18,"1,30041","2,08024"
100,19,"1,2768","2,10767"
100,20,"1,2531","2,13544"
100,21,"1,22928","2,16352"
101,2,"1,65582","1,69577"
101,3,"1,63568","1,71634"
101,4,"1,61526","1,73738"
101,5,"1,59457","1,75888"
101,6,"1,57363","1,78086"
101,7,"1,55244","1,80328"
101,8,"1,531","1,82614"
101,9,"1,50934","1,84945"
101,10,"1,48747","1,87317"
101,11,"1,46538","1,89731"
101,12,"1,4431","1,92186"
101,13,"1,42063","1,94682"
101,14,"1,39799","1,97215"
101,15,"1,37518","1,99787"
101,16,"1,35221","2,02394"
101,17,"1,32911","2,05037"
101,18,"1,30587","2,07715"
101,19,"1,2825","2,10425"
101,20,"1,25903","2,13168"
101,21,"1,23546","2,15941"
102,2,"1,65758","1,69713"
102,3,"1,63764","1,71749"
102,4,"1,61742","1,73831"
102,5,"1,59694","1,75959"
102,6,"1,57621","1,78132"
102,7,"1,55524","1,80349"
102,8,"1,53403","1,8261"
102,9,"1,5126","1,84914"
102,10,"1,49094","1,87259"
102,11,"1,46909","1,89646"
102,12,"1,44704","1,92072"
102,13,"1,4248","1,94538"
102,14,"1,40239","1,97042"
102,15,"1,37982","1,99582"
102,16,"1,35709","2,02159"
102,17,"1,33422","2,04769"
102,18,"1,31122","2,07414"
102,19,"1,28809","2,10092"
